,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
88,Botines Jersey Outfit Rockero Negros,99.700,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
39
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(3 disponibles),Hay stock disponible,,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Itaguí, Antioquia",,"Marca
Baya Baya Store",Género Mujer,Botines de tacón. Material exterior; sintético. Material interior; sintético y textil. Detalle de tachuelas y hebilla. Punta redondeada. Altura tacón; 4cm. Altura de la caña; 12cm. Cierre mediante cordones y cremallera. Suela de goma.
89,Bota Miltar Masherland® Velocitor,260.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 83% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(334 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,5 opiniones,4,¿Qué quieres saber?,,83%,"Marca
Masherland®
Modelo
Velocitor™",Género Hombre,"* * * * *BOTA MASHERLAND* * * * *

Botas militares Velocitor one 100% en cuero natural traspasado de alto calibre, cremallera lateral, clises en termo fibra plástica, suela en caucho antideslizante de alta resistencia, Lona ultra resistente y repelente al agua.

Nuestra Misión fue desarrollar un producto que combinara la dureza, resistencia y durabilidad de unas zapatillas de alto performance, Construimos unas botas listas para entregarlo todo en tierra y asfalto, Capellada en Lona resistente que repele el agua, Apliques y cordoneras inyectadas en TPU y suela antideslizante en caucho de alto agarre, Plantilla interior en EVA y forro liycra para una increíble experiencia y confort.


Soporte interno de la plantilla fabricado en acero para un soporte superior
Los protectores internos del talón y de los dedos, son dos piezas termoplásticas moldeadas a medida y ambas brindan una comodidad instantánea y un buen soporte lateral. No son botas de seguridad, tampoco tienen puntera de seguridad.

Con esta bota siempre te verás bien y con mucho estilo en cualquier momento de tu jornada de trabajo.

Botas para Militares, Botas para Policias, Botas para Guardias de Seguridad entre otros.
Botas Outdoor."
90,Botas En Caucho Macha De Croydon,36.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(18463 disponibles),Hay stock disponible,,"909
ventas en los últimos 4 meses.","909
ventas en los últimos 4 meses.",,"909
ventas en los últimos 4 meses.","909
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Chapinero, Bogotá D.C.",,"Marca
Croydon
Modelo
Macha Alta",Género Hombre,"SOMOS DISTRIBUIDORES DIRECTOS !!!

Bota Macha de Croydon en caucho

Características

- Caucho PVC 100% impermeable
- Suela en caucho anti deslizante
- Caña alta
- Disponibles desde la talla 37 hasta la 45

Color

- Negro


APROVECHA EL PRECIO Y PROTEGE TUS PIES CON LA MACHA DE CROYDON"
91,Timberland Clásica,170.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(29 disponibles),Hay stock disponible,,"23
ventas en los últimos 2 años.","23
ventas en los últimos 2 años.",,"23
ventas en los últimos 2 años.","23
ventas en los últimos 2 años.",5 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",100%,"Marca
Timberland
Modelo
Clásica Arena",Género Hombre,"Timberland 100% Cuero... Pide Las Tuyas

Envió inmediato.
Recibe en la puerta de tu casa o trabajo.
Tienda virtual.
-------------------------------------------------
Aliado comercial mercado envios.
Importadores directos."
92,Botas Para Hombre Glenn Negro En Cuero - Outletshop -,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 78% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(30 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",9 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",78%,"Marca
Outlet Shop
Modelo
Glenn negro",Género Hombre,"Botines 100% cuero, color negro mate. Elaborados con materias primas colombianas por trabajadores colombianos, nuestros productos nacen de la idealización de entregar productos de uso cotidiano con una calidad alta y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
93,"Zapatos Hombre - Botas Hombre, Calzado Caballero, Botines",74.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",,,,"704
ventas en los últimos 4 meses.","704
ventas en los últimos 4 meses.",,"704
ventas en los últimos 4 meses.","704
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",,"Género
Hombre",,"Botas hombre, calzado caballero, botines
Elaborados en material sintético tipo cuero de excelente calidad
Producto de fabricación nacional
Disponibles del 37 al 43
HORMA PEQUEÑA, SOLICITE UNA TALLA MAS DE LO NORMAL

****ENVIO GRATIS A TODO EL PAIS***
PREGUNTE DISPONIBILIDAD ANTES DE OFERTAR"
94,Botines En Cuero Para Dama,87.700,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(11 disponibles),Hay stock disponible,,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",2 opiniones,5,¿Qué quieres saber?,"Ciudad Bolivar, Bogotá D.C.",,"Marca
Jhonalje
Modelo
506","Género Mujer
Tipo de calzado Botas
Tipo de caña Baja
Temporada de lanzamiento Primavera-verano","- Botines para Dama Puntera en Cuero
- Plantilla inyectada gran durabilidad y comodidad
- Altura cinco y medio con suela en TR
- Tallas desde la 34 hasta la 39
- Colores disponibles: Negro y Miel

IMPORTANTE:
1. -ANTES DE REALIZAR LA COMPRA ACLARAR TODAS LAS DUDAS EN CUANTO A TALLAS,COLORES,MATERIALES, ETC,
2. - PARA CONOCER A CERCA DE LAS TALLAS TENEMOS UNA GUÍA DE TALLAS EN LA CUAL SE PUEDEN REFERENCIAR PARA REALIZAR SU PEDIDO.
3. - SI SE NECESITA REALIZAR UN CAMBIO POR NÚMERO SE DEBE INFORMAR EL MISMO DÍA EN EL CUAL SE RECIBE EL PRODUCTO, SE DEBE TENER EN CUENTA QUE EL COMPRADOR ASUMIRÁ LOS COSTOS LOGÍSTICOS QUE SE GENEREN POR EL CAMBIO.

- ESTAREMOS ATENTOS A CUALQUIER DUDA O SOLICITUD, GRACIAS POR SU
COMPRESIÓN."
95,Botas Calzado Lona Cuero Hombre Deportiva Impermeable - Negr,119.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 91% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(32 disponibles),Hay stock disponible,,"233
ventas en los últimos 4 meses.","233
ventas en los últimos 4 meses.",,"233
ventas en los últimos 4 meses.","233
ventas en los últimos 4 meses.",34 opiniones,4,¿Qué quieres saber?,"Armenia, Quindio",91%,"Marca
Hydro
Modelo
922",Género Hombre,"Bota en Lona de alta especificación técnica, manufactura nacional. Con repelencia al agua (Hidrofugacion/waterproof) ideal para deportes y uso casual.

• Capellada en Lona hidrofugado (Repele el Agua).
• Suela Vulcanizada
• Suela en Caucho antideslizante.
• Manufactura Colombiana.
• Recomendada para Senderismo, Caminatas, Alpinismo, Montañismo, Trekking y actividades de máxima exigencia.También para uso formal.
Color Negro - Azul
Antes de la compra preguntar por disponibilidad de talla.

El Cambio de este producto es totalmente Gratis siempre te prestamos la mejor colaboración y compañía hasta obtener tu producto."
96,"Botines Mujer,botas De Mujer ,nueva Colección,",74.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
40
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(11 disponibles),Hay stock disponible,,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",,"Marca
Winner
Modelo
W-105",Género Mujer,"Bota casual
Tipo de Producto: Bota Mujer
Tipo de Punta: Redonda
Empeine: Moldeado
Tipo Ajuste: Cordón
Ocasión: Outdoor
Medida Caña: 7cm
Medida Collarín: 7cm
Material Externo: Textil
Material Interno: Textil
Material Suela: Caucho Flexible
Origen: Producto Nacional 35 al 40
Tallaje: Numeración Colombiana"
97,Botas Bramita De Niños Tallas 21-26 Fabricacion Colombiana,29.900,Llega mañana,,talla:,"talla:
Seleccione una opción
Al 89% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(30 disponibles),Hay stock disponible,,"1506
ventas en los últimos 4 meses.","1506
ventas en los últimos 4 meses.",,"1506
ventas en los últimos 4 meses.","1506
ventas en los últimos 4 meses.",6 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",89%,,,"Botas Bramita De Niños Tallas 21-26 Fabricacion Colombiana

TALLA CENTÍMETROS

21 15.5
22 16
23 16.5
24 17
25 18
26 19
Botas Bramita De Niños Tallas 2126 Fabricacion Colombiana"
98,Botas Para Hombre En Cuero Glenn Sport Negro - Outletshop -,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(26 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",2 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",,"Marca
Outlet Shop
Modelo
Sport negro",Género Hombre,"Botines 100% cuero liso y cuero nobuk, color negro. Industria colombiana. Envíos GRATIS a todo el país. Nuestros estilos nacen de la idealización de entregar productos de uso cotidiano con una calidad alta y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
99,,,Entrega a acordar con el vendedor,"Envigado, Antioquia",talla: 40,"talla: 40
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,,,¿Qué quieres saber?,,,"Género
Hombre",,"INFORMACIÓN Botas marca Tennis para hombre, de cuero y fondo entero. Color: negro - Hecho en material: 100% poliester MATERIAL SILUETA"
100,Botín Desierto Gobi,119.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
43","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(4 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",,"Marca
Desierto
Modelo
Gobi","Género Hombre
Tipo de calzado Botinetas
Estilo Botinetas
Tipo de caña Baja
Año de lanzamiento 2016","Elaborado en gamuza 1A, lona impermeable de alta durabilidad, suela liviana en caucho resistente y antideslizante, vulcanizadas, caña de 17 cm, acolchado interior térmico suave y plantilla semi ortopédica."
101,"Botas Para Expedición, Uso Diario, Trabajo Cosidas, Garantía",104.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(27 disponibles),Hay stock disponible,,"85
ventas en los últimos 4 meses.","85
ventas en los últimos 4 meses.",,"85
ventas en los últimos 4 meses.","85
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Santa Fe, Bogotá D.C.",86%,"Modelo
Everest",Género Hombre,"Las botas son UNISEX. (Hombres - Mujeres)

BOTAS NACIONALES MILITARES - TIPO SWAT
EXPEDICIÓN - USO DIARIO- TRABAJO - MONTAÑISMO - MOTOCICLISMO

Ejército – Policía – Armada – Seguridad Privada – Deporte Extremo – Particulares

Pregunte por todas las tallas (34 al 44) sin importar que aparezca agotado

****** Entrega inmediata *******
****** Color arena, coyote, negro, café ******

- Fabricadas en lona impermeable y cuero (negras), gamuza (arena)
- Cremallera lateral interna y pestaña con velcro para mantenerla en su lugar.
- Suela en caucho vulcanizada y cosida (mayor durabilidad)
- Broches plásticos, cordones en nylon, plantilla semi – ergonómica

Botas media caña
Tallas disponibles: De la 34 al 43

Garantía: 60 días por defectos de fabricación y/o materiales
Sólo sí realizan la calificación

***ENVIOS A NIVEL NACIONAL GRATIS ***"
